76698,-95.775717,36.080405
76736,-95.775701,36.080541
76735,-95.775656,36.080537
72793,-95.774353,36.079159
72792,-95.774308,36.079176
72791,-95.774263,36.079193
72789,-95.773397,36.079605
72790,-95.773387,36.079594
72641,-95.773118,36.079565
76700,-95.774639,36.079667
76699,-95.774639,36.079690
76702,-95.774469,36.079669
76703,-95.774469,36.079692
76704,-95.774469,36.079714
76734,-95.774645,36.080382
76705,-95.774475,36.080382
76733,-95.774645,36.080812
76732,-95.774645,36.080839
76731,-95.774645,36.080866
72780,-95.774410,36.080660
72781,-95.774361,36.080660
72761,-95.774458,36.080799
72760,-95.774408,36.080798
72759,-95.774359,36.080798
72782,-95.774311,36.080660
72758,-95.774309,36.080798
72757,-95.774260,36.080798
76730,-95.774646,36.081611
76729,-95.774646,36.081636
76728,-95.774646,36.081662
72762,-95.774458,36.081460
72763,-95.774392,36.081459
72779,-95.774458,36.081598
72778,-95.774392,36.081597
72764,-95.774326,36.081459
72765,-95.774260,36.081459
72777,-95.774326,36.081597
72776,-95.774260,36.081597
72766,-95.774194,36.081459
72775,-95.774194,36.081597
72788,-95.773251,36.079676
72787,-95.773232,36.079665
72642,-95.772893,36.079732
72783,-95.773223,36.080654
72756,-95.773221,36.080792
72784,-95.773174,36.080654
72755,-95.773172,36.080792
72754,-95.773122,36.080792
72774,-95.772813,36.081593
72767,-95.772747,36.081455
72768,-95.772681,36.081455
72773,-95.772747,36.081593
72772,-95.772681,36.081593
76727,-95.774468,36.082389
76706,-95.774402,36.082251
76726,-95.774402,36.082389
76707,-95.774336,36.082251
76708,-95.774270,36.082251
76725,-95.774336,36.082389
76724,-95.774270,36.082389
76709,-95.774204,36.082251
76710,-95.774138,36.082251
76723,-95.774204,36.082389
76722,-95.774138,36.082389
76711,-95.772818,36.082251
76721,-95.772818,36.082389
76712,-95.772752,36.082251
76713,-95.772686,36.082251
76720,-95.772752,36.082389
76719,-95.772686,36.082389
72643,-95.772669,36.079900
72786,-95.772671,36.080084
72644,-95.772445,36.080068
72645,-95.772221,36.080236
72785,-95.772111,36.080504
72646,-95.771997,36.080404
72647,-95.771837,36.080518
72769,-95.772615,36.081454
72770,-95.772549,36.081454
72771,-95.772549,36.081592
72753,-95.771900,36.080657
76714,-95.772620,36.082251
76715,-95.772554,36.082251
76718,-95.772620,36.082389
76717,-95.772554,36.082389
76716,-95.772488,36.082389
76687,-95.779449,36.080380
76688,-95.779396,36.080379
76689,-95.779344,36.080379
76747,-95.779447,36.080518
76746,-95.779394,36.080517
76745,-95.779342,36.080517
76690,-95.779292,36.080378
76744,-95.779290,36.080516
72809,-95.778714,36.078611
72820,-95.778779,36.078749
72819,-95.778714,36.078749
72810,-95.778650,36.078611
72811,-95.778586,36.078611
72818,-95.778650,36.078749
72817,-95.778586,36.078749
72812,-95.778522,36.078611
72816,-95.778522,36.078749
72815,-95.778458,36.078749
72814,-95.778393,36.078749
72813,-95.778329,36.078749
76691,-95.778153,36.080343
76692,-95.778101,36.080339
76693,-95.778050,36.080334
76743,-95.778135,36.080479
76742,-95.778083,36.080475
76694,-95.777993,36.080330
76741,-95.778032,36.080470
